x: -0.001842, y: -0.001562, z: -0.000132, roll: -0.000120, pitch: 0.001507, yaw: -0.001969
x: -0.002031, y: -0.001327, z: -0.000108, roll: -0.000272, pitch: 0.001679, yaw: -0.001566
x: -0.002917, y: -0.001227, z: -0.000055, roll: -0.000162, pitch: 0.002428, yaw: -0.002240
x: -0.001654, y: -0.000886, z: -0.000172, roll: 0.000131, pitch: 0.001427, yaw: -0.001434
x: -0.001401, y: -0.000771, z: -0.000190, roll: 0.000185, pitch: 0.001146, yaw: -0.001421
x: -0.002764, y: -0.001281, z: -0.000083, roll: -0.000235, pitch: 0.002291, yaw: -0.002231
x: -0.000980, y: 0.000277, z: -0.000559, roll: 0.001120, pitch: 0.000812, yaw: -0.001243
x: -0.002132, y: 0.000674, z: -0.000568, roll: 0.001518, pitch: 0.001800, yaw: -0.001639
x: -0.002020, y: 0.000905, z: -0.000578, roll: 0.001706, pitch: 0.001684, yaw: -0.001681
x: -0.002285, y: -0.000301, z: -0.000384, roll: 0.000663, pitch: 0.001897, yaw: -0.001898
x: -0.001629, y: 0.000407, z: -0.000631, roll: 0.001337, pitch: 0.001374, yaw: -0.001393
x: -0.001627, y: 0.001918, z: -0.001024, roll: 0.002715, pitch: 0.001360, yaw: -0.001698
x: 0.002668, y: 0.005899, z: -0.005712, roll: 0.006275, pitch: -0.002257, yaw: 0.000665
x: 0.039537, y: 0.029296, z: -0.074118, roll: 0.012453, pitch: -0.017211, yaw: 0.015403
x: 0.092103, y: 0.044205, z: -0.238806, roll: -0.005086, pitch: -0.021844, yaw: 0.018900
x: 1.500244, y: -0.806434, z: 0.440571, roll: -0.493678, pitch: -1.061207, yaw: -0.042975
x: -0.711499, y: 0.920787, z: -0.401193, roll: 0.480369, pitch: 0.300896, yaw: 0.192341
x: -0.628350, y: 0.960152, z: -0.414968, roll: 0.516099, pitch: 0.149680, yaw: 0.336356
x: -0.823676, y: 0.956207, z: -0.318050, roll: 0.538166, pitch: 0.327412, yaw: 0.260097
x: -0.767218, y: 0.958606, z: -0.348841, roll: 0.527848, pitch: 0.294693, yaw: 0.255077
x: -0.818778, y: 0.950054, z: -0.325728, roll: 0.531049, pitch: 0.330131, yaw: 0.252496
x: -0.770192, y: 0.976695, z: -0.331535, roll: 0.542572, pitch: 0.290399, yaw: 0.263352
